position,BGA_05,BGA_06,BGA_07,BGA_08,BGA_09,BGA_10,BGA_11,BGA_12,BGA_13,BGA_14,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_00
157.8,0.1928,0.1923,0.2857,0.2848,0.9964,0.9942,-0.0214,-0.0176,-2.0948,-2.0947,2.1589,2.1522,-1.9462,-1.944,-0.4197,-0.4174,1.0678,1.0677,0.6276,0.6242,0.294,0.2929,0.144,0.1448,0.0756,0.0754,0
159.8,0.1879,0.1859,0.2772,0.2762,0.9727,0.9722,0.0311,0.0331,-2.1485,-2.1481,2.1714,2.1664,-2.0015,-1.9976,-0.3537,-0.3553,1.0781,1.077,0.6263,0.6263,0.294,0.2927,0.143,0.1444,0.0737,0.0738,0
161.9,0.1821,0.1818,0.2685,0.2683,0.9502,0.9509,0.0818,0.0836,-2.1967,-2.1977,2.177,2.1752,-2.0495,-2.0477,-0.2924,-0.2936,1.0876,1.0879,0.628,0.6279,0.2948,0.2939,0.1441,0.1441,0.0729,0.0731,0
163.9,0.1777,0.1777,0.2604,0.2608,0.9295,0.9298,0.1311,0.1329,-2.2407,-2.2419,2.179,2.1782,-2.0952,-2.0944,-0.2332,-0.2337,1.0984,1.0993,0.6308,0.6302,0.297,0.2963,0.1457,0.145,0.0736,0.0737,0
166,0.1726,0.1724,0.252,0.252,0.9077,0.908,0.1806,0.1814,-2.2793,-2.2802,2.1746,2.1751,-2.135,-2.1349,-0.174,-0.1744,1.1076,1.1073,0.633,0.6329,0.2998,0.2995,0.1468,0.1464,0.0745,0.0745,0
168.1,0.1666,0.1664,0.2426,0.2422,0.884,0.8842,0.2292,0.23,-2.3102,-2.3114,2.1636,2.1646,-2.1682,-2.1683,-0.1141,-0.1142,1.1129,1.1113,0.6345,0.6345,0.3024,0.3025,0.1475,0.1475,0.0753,0.0753,0
170.1,0.1592,0.1595,0.2325,0.2319,0.858,0.8581,0.2771,0.2776,-2.3339,-2.3341,2.1467,2.1462,-2.1951,-2.1945,-0.0535,-0.0538,1.1131,1.1128,0.6353,0.6351,0.3048,0.3049,0.1481,0.1481,0.076,0.0757,0
172.2,0.1513,0.152,0.2221,0.2213,0.8315,0.8317,0.3232,0.3231,-2.3498,-2.3484,2.1235,2.1209,-2.2151,-2.2139,0.006,0.0055,1.1103,1.1126,0.6342,0.6347,0.3069,0.307,0.1485,0.1484,0.0768,0.0756,0
174.2,0.1434,0.1434,0.2118,0.2103,0.8041,0.8048,0.3673,0.366,-2.3571,-2.3549,2.0931,2.0907,-2.2284,-2.2274,0.0654,0.065,1.1057,1.1075,0.631,0.6317,0.3084,0.3081,0.1482,0.1481,0.0774,0.0762,0
176.3,0.1359,0.1349,0.2019,0.2005,0.776,0.7748,0.4093,0.4073,-2.3568,-2.3551,2.0561,2.0565,-2.2334,-2.2358,0.1216,0.1244,1.0985,1.1,0.6267,0.6277,0.3087,0.3089,0.1473,0.1472,0.0774,0.0777,0
