position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_54,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_Shield
-311,0,0,0,0,0,0,2.389381,2.391642,0.635338,0.639872,-3.326171,-3.326171,-3.328872,-3.328872,-1.67225,-1.67225,-1.673848,-1.673848,1.751692,1.775943,1.200165,1.184434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-308,0,0,0,0,0,0,2.316266,2.319064,0.796964,0.803405,-3.137284,-3.137284,-3.140556,-3.140556,-1.938676,-1.938676,-1.939189,-1.939189,1.57784,1.599915,1.406886,1.388534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-304,0,0,0,0,0,0,2.151386,2.1536,0.978887,0.98852,-2.870926,-2.870926,-2.874427,-2.874427,-2.26292,-2.26292,-2.263277,-2.263277,1.376149,1.396299,1.68804,1.668712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300,0,0,0,0,0,0,1.943052,1.944958,1.169682,1.182056,-2.579128,-2.579128,-2.583143,-2.583143,-2.576023,-2.576023,-2.576252,-2.576252,1.178274,1.196275,1.938307,1.919063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-296,0,0,0,0,0,0,1.691278,1.69301,1.370425,1.385547,-2.267906,-2.267906,-2.272332,-2.272332,-2.86975,-2.86975,-2.870262,-2.870262,0.990045,1.006216,2.144996,2.127707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-293,0,0,0,0,0,0,1.498694,1.500228,1.550111,1.566507,-2.007767,-2.007767,-2.012212,-2.012212,-3.086011,-3.086011,-3.086661,-3.086661,0.826167,0.841099,2.249186,2.234203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-289,0,0,0,0,0,0,1.201359,1.202702,1.752241,1.770255,-1.679885,-1.679885,-1.684396,-1.684396,-3.328415,-3.328415,-3.32971,-3.32971,0.648643,0.662327,2.379128,2.368281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-285,0,0,0,0,0,0,0.899,0.899974,1.944597,1.963888,-1.352843,-1.352843,-1.357655,-1.357655,-3.533034,-3.533034,-3.534724,-3.534724,0.472978,0.485388,2.469018,2.463106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-281,0,0,0,0,0,0,0.60743,0.60808,2.120278,2.14008,-1.034737,-1.034737,-1.039807,-1.039807,-3.69429,-3.69429,-3.696676,-3.696676,0.295986,0.307187,2.523114,2.522257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-278,0,0,0,0,0,0,0.420901,0.419654,2.262559,2.280143,-0.782949,-0.782949,-0.789754,-0.789754,-3.789644,-3.789644,-3.790352,-3.790352,0.131777,0.141967,2.516191,2.520078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-274,0,0,0,0,0,0,0.183485,0.183671,2.388568,2.407885,-0.497314,-0.497314,-0.502663,-0.502663,-3.857873,-3.857873,-3.861038,-3.861038,-0.054929,-0.045593,2.516018,2.5231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-270,0,0,0,0,0,0,0,0,2.4802,2.498132,-0.240179,-0.240179,-0.245688,-0.245688,-3.869638,-3.869638,-3.872789,-3.872789,-0.250512,-0.242229,2.492659,2.503072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-266,0,0,0,0,0,0,0,0,2.502486,2.517687,-0.043862,-0.043862,-0.051763,-0.051763,-3.855997,-3.855997,-3.857465,-3.857465,-0.509588,-0.501663,2.401789,2.413894,0.184284,0.18407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-263,0,0,0,0,0,0,0,0,2.529051,2.54287,0.123434,0.123434,0.117948,0.117948,-3.799699,-3.799699,-3.801955,-3.801955,-0.744819,-0.73865,2.284739,2.297206,0.341014,0.342203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-259,0,0,0,0,0,0,0,0,2.504604,2.515552,0.304524,0.304524,0.299186,0.299186,-3.68512,-3.68512,-3.686396,-3.686396,-1.048778,-1.043941,2.134262,2.146828,0.605736,0.607941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-255,0,0,0,0,0,0,0,0,2.448012,2.455687,0.481247,0.481247,0.476511,0.476511,-3.521358,-3.521358,-3.52148,-3.52148,-1.368743,-1.364981,1.959878,1.971491,0.89676,0.899814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-251,0,0,0,0,0,0,0,0,2.35505,2.359715,0.656315,0.656315,0.652622,0.652622,-3.313758,-3.313758,-3.31278,-3.31278,-1.6967,-1.694357,1.76869,1.778632,1.198254,1.202397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-248,0,0,0,0,0,0,0,0,2.281863,2.284248,0.816365,0.816365,0.813928,0.813928,-3.121426,-3.121426,-3.119761,-3.119761,-1.962521,-1.961235,1.592477,1.600796,1.404759,1.409492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
